key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
santa fe|1800|recoleta	Santa Fe	1800	Recoleta	-34.595937	-58.393205	-34.5958630979058	-58.3933121011461	2	12.8	-34.5959	-58.3932586
bonpoint | cervino|3180|palermo	Bonpoint | Cerviño	3180	Palermo					0			
pico|3118|saavedra	Pico	3118	Saavedra	-34.543047	-58.481282	-34.54296385418313	-58.481154826461704	2	14.9	-34.5430054	-58.4812184
av independencia|3900|almagro	Avenida Independencia	3900	Almagro	-34.621348	-58.420381	-34.6212721166337	-58.4204973515205	2	13.6	-34.6213101	-58.4204392
araoz unidades a|1900|palermo	Araoz Unidades A	1900	Palermo					0			
murillo|1121|villa crespo	Murillo	1121	Villa Crespo	-34.596901	-58.447822	-34.59694354908443	-58.44785357230784	2	5.5	-34.5969223	-58.4478378
donado|1755|villa ortuzar	Donado	1755	Villa Ortuzar	-34.576111	-58.47223	-34.57605872360252	-58.47232737936052	2	10.7	-34.5760849	-58.4722787
yatay|200|almagro	Yatay	200	Almagro	-34.610813	-58.428956	-34.6107174106507	-58.4289143807305	2	11.3	-34.6107652	-58.4289352
arcos|2900|nunez	Arcos	2900	Nuñez	-34.552928	-58.460349	-34.5528306346025	-58.4603776404042	2	11.1	-34.5528793	-58.4603633
godoy cruz|4600|palermo	Godoy Cruz	4600	Palermo					0			
cervantes|3600|villa devoto	Cervantes	3600	Villa Devoto	-34.609743	-58.524947	-34.6096529766639	-58.525001346223	2	11.2	-34.609698	-58.5249742
paseo colon av|1062|san telmo	Paseo Colon, Av	1062	San Telmo	-34.62011	-58.368218	-34.62011243695581	-58.36852280347408	2	28.0	-34.6201112	-58.3683704
juan b justo|3800|villa crespo	Juan B. Justo	3800	Villa Crespo	-34.603351	-58.456601	-34.6032792833065	-58.4567006246797	2	12.1	-34.6033151	-58.4566508
fray justo santa maria de oro|3000|palermo	Fray Justo Santa María De Oro	3000	Palermo	-34.574229	-58.420138	-34.5741734664927	-58.4200243647126	2	12.1	-34.5742012	-58.4200812
serrano|500|almagro	Serrano	500	Almagro	-34.596382	-58.442713	-34.5963518194653	-58.4425904440651	2	11.7	-34.5963669	-58.4426517
grecia|3300|nunez	Grecia	3300	Nuñez	-34.549104	-58.462017	-34.5491541547432	-58.4621609287609	2	14.3	-34.5491291	-58.462089
treinta y tres orientales|200|almagro	Treinta Y Tres Orientales	200	Almagro	-34.6158	-58.424453	-34.6158955777451	-58.4244884891598	2	11.1	-34.6158478	-58.4244707
santa fe av|1300|recoleta	Santa Fe Av	1300	Recoleta	-34.595751	-58.38558	-34.5956794009831	-58.3857481867018	2	17.4	-34.5957152	-58.3856641
mexico|1812|balvanera	Mexico	1812	Balvanera	-34.615761	-58.392028	-34.615710438380475	-58.39182984092185	2	19.0	-34.6157357	-58.3919289
guatemala|5524|palermo	Guatemala	5524	Palermo	-34.580829	-58.43145	-34.58091006623593	-58.431256352409385	2	19.9	-34.5808695	-58.4313532
azopardo|500|monserrat	Azopardo	500	Monserrat	-34.613437	-58.367831	-34.6134570507381	-58.3678205191492	2	2.4	-34.613447	-58.3678258
tucuman|600|san nicolas	Tucuman	600	San Nicolas	-34.601071	-58.375224	-34.6010497642105	-58.3753305387144	2	10.1	-34.6010604	-58.3752773
av scalabrini ortiz|2400|palermo	Av. Scalabrini Ortiz	2400	Palermo	-34.58606	-58.417591	-34.5860770870218	-58.4174306241481	2	14.8	-34.5860685	-58.4175108
saenz pena|1000|monserrat	Sáenz Peña	1000	Monserrat	-34.619838	-58.387291	-34.6199569998168	-58.3873197468048	2	13.5	-34.6198975	-58.3873054
sanchez de loria|1100|san cristobal	Sanchez De Loria	1100	San Cristobal	-34.622871	-58.412013	-34.6229747991635	-58.4120419933038	2	11.8	-34.6229229	-58.4120275
sarmiento|2400|balvanera	Sarmiento	2400	Balvanera	-34.606164	-58.400431	-34.6061535833181	-58.4007221456434	2	26.7	-34.6061588	-58.4005766
valentin gomez|3100|balvanera	Valentin Gomez	3100	Balvanera	-34.605307	-58.409279	-34.6052460915563	-58.409377634272	2	11.3	-34.6052765	-58.4093283
castro barros|1400|boedo	Castro Barros	1400	Boedo	-34.629023	-58.418026	-34.6291253034661	-58.4180572280367	2	11.7	-34.6290742	-58.4180416
finochietto|400|barracas	Finochietto	400	Barracas					0			
manuel ricardo trelles|1500|caballito	Manuel Ricardo Trelles	1500	Caballito	-34.610265	-58.462855			1		-34.610265	-58.462855
echeverria|2164|belgrano	Echeverria	2164	Belgrano	-34.56165	-58.453534	-34.56165470536901	-58.453622519958394	2	8.1	-34.5616524	-58.4535783
av san juan|1971|san cristobal	Av. San Juan	1971	San Cristobal	-34.62277	-58.393456	-34.62286034241614	-58.39352604473995	2	11.9	-34.6228152	-58.393491
